Report Number,Date Reported,Date of Occurrence,Time of Occurrence,City,Crime Code,Crime Description,Victim Age,Victim Gender,Weapon Used,Crime Domain,Police Deployed,Case Closed,Date Case Closed,Occurrence Year,Occurrence Month,Occurrence Hour
36,2020-04-01 21:00:00,2020-01-02 11:00:00,02-01-2020 17:48,Chennai,396,COUNTERFEITING,32,F,Blunt Object,Other Crime,11,No,,2020,1,17.0
37,2020-03-01 05:00:00,2020-01-02 12:00:00,03-01-2020 00:18,Lucknow,187,SEXUAL ASSAULT,33,F,Blunt Object,Violent Crime,9,Yes,2020-07-02 05:00:00,2020,1,0.0
38,2020-04-01 05:00:00,2020-01-02 13:00:00,02-01-2020 18:04,Varanasi,280,SHOPLIFTING,22,F,Explosives,Other Crime,14,No,,2020,1,18.0
39,2020-03-01 23:00:00,2020-01-02 14:00:00,02-01-2020 21:24,Surat,487,VEHICLE - STOLEN,32,F,Unknown,Violent Crime,13,Yes,2020-03-11 23:00:00,2020,1,21.0
40,2020-03-01 02:00:00,2020-01-02 15:00:00,03-01-2020 14:05,Mumbai,154,FRAUD,69,F,Explosives,Other Crime,10,Yes,2020-01-15 02:00:00,2020,1,14.0
41,2020-05-01 01:00:00,2020-01-02 16:00:00,03-01-2020 01:51,Visakhapatnam,148,HOMICIDE,28,F,Firearm,Other Crime,2,No,,2020,1,1.0
42,2020-03-01 11:00:00,2020-01-02 17:00:00,03-01-2020 11:09,Surat,583,ILLEGAL POSSESSION,42,M,Blunt Object,Other Crime,6,No,,2020,1,11.0
43,2020-03-01 03:00:00,2020-01-02 18:00:00,03-01-2020 09:30,Delhi,172,FIREARM OFFENSE,40,M,Poison,Fire Accident,10,Yes,2020-03-17 03:00:00,2020,1,9.0
44,2020-04-01 07:00:00,2020-01-02 19:00:00,03-01-2020 08:34,Mumbai,300,SEXUAL ASSAULT,44,M,Other,Violent Crime,7,No,,2020,1,8.0
45,2020-05-01 19:00:00,2020-01-02 20:00:00,03-01-2020 06:22,Kolkata,387,ARSON,44,F,Blunt Object,Fire Accident,10,Yes,2020-01-12 19:00:00,2020,1,6.0
46,2020-04-01 19:00:00,2020-01-02 21:00:00,03-01-2020 09:02,Patna,297,DRUG OFFENSE,67,M,Knife,Other Crime,8,No,,2020,1,9.0
47,2020-05-01 04:00:00,2020-01-02 22:00:00,03-01-2020 09:55,Delhi,555,ROBBERY,47,F,Unknown,Violent Crime,9,No,,2020,1,9.0
48,2020-05-01 17:00:00,2020-01-02 23:00:00,03-01-2020 03:42,Lucknow,128,FIREARM OFFENSE,38,F,Blunt Object,Fire Accident,14,Yes,2020-03-14 17:00:00,2020,1,3.0
49,2020-05-01 19:00:00,2020-01-03 00:00:00,03-01-2020 02:59,Jaipur,139,ILLEGAL POSSESSION,77,F,Firearm,Other Crime,17,No,,2020,1,2.0
50,2020-03-01 13:00:00,2020-01-03 01:00:00,03-01-2020 06:06,Hyderabad,561,DRUG OFFENSE,37,F,Blunt Object,Other Crime,7,No,,2020,1,6.0
51,2020-03-01 05:00:00,2020-01-03 02:00:00,03-01-2020 17:10,Nagpur,573,BURGLARY,54,F,Other,Other Crime,12,Yes,2020-04-13 05:00:00,2020,1,17.0
52,2020-05-01 12:00:00,2020-01-03 03:00:00,03-01-2020 19:13,Kolkata,260,BURGLARY,38,F,Blunt Object,Other Crime,5,Yes,2020-04-14 12:00:00,2020,1,19.0
53,2020-05-01 00:00:00,2020-01-03 04:00:00,03-01-2020 22:01,Ghaziabad,211,PUBLIC INTOXICATION,29,M,Poison,Other Crime,15,Yes,2020-01-20 00:00:00,2020,1,22.0
54,2020-05-01 10:00:00,2020-01-03 05:00:00,03-01-2020 18:47,Delhi,312,BURGLARY,75,M,Explosives,Other Crime,2,No,,2020,1,18.0
55,2020-06-01 02:00:00,2020-01-03 06:00:00,03-01-2020 07:47,Pune,548,FIREARM OFFENSE,61,F,Poison,Fire Accident,5,No,,2020,1,7.0
56,2020-04-01 04:00:00,2020-01-03 07:00:00,03-01-2020 11:11,Meerut,596,BURGLARY,49,F,Unknown,Other Crime,19,No,,2020,1,11.0
57,2020-06-01 01:00:00,2020-01-03 08:00:00,03-01-2020 20:16,Kanpur,188,SEXUAL ASSAULT,67,F,Firearm,Violent Crime,8,Yes,2020-07-20 01:00:00,2020,1,20.0
58,2020-03-01 18:00:00,2020-01-03 09:00:00,03-01-2020 09:43,Ahmedabad,110,ASSAULT,70,F,Unknown,Violent Crime,15,No,,2020,1,9.0
59,2020-04-01 14:00:00,2020-01-03 10:00:00,04-01-2020 02:40,Chennai,449,TRAFFIC VIOLATION,75,F,Blunt Object,Traffic Fatality,16,No,,2020,1,2.0
60,2020-05-01 18:00:00,2020-01-03 11:00:00,04-01-2020 05:33,Thane,352,SHOPLIFTING,53,F,Other,Other Crime,6,Yes,2020-03-31 18:00:00,2020,1,5.0
61,2020-03-01 22:00:00,2020-01-03 12:00:00,03-01-2020 15:04,Mumbai,196,SHOPLIFTING,16,M,Poison,Other Crime,10,No,,2020,1,15.0
62,2020-05-01 21:00:00,2020-01-03 13:00:00,04-01-2020 03:32,Surat,359,DRUG OFFENSE,30,M,Explosives,Other Crime,9,Yes,2020-02-09 21:00:00,2020,1,3.0
63,2020-03-01 20:00:00,2020-01-03 14:00:00,04-01-2020 09:27,Chennai,495,FRAUD,56,M,Explosives,Other Crime,5,Yes,2020-03-15 20:00:00,2020,1,9.0
64,2020-06-01 06:00:00,2020-01-03 15:00:00,03-01-2020 23:24,Thane,259,ILLEGAL POSSESSION,19,F,Blunt Object,Other Crime,16,Yes,2020-03-20 06:00:00,2020,1,23.0
65,2020-05-01 18:00:00,2020-01-03 16:00:00,04-01-2020 00:59,Visakhapatnam,289,DRUG OFFENSE,58,F,Explosives,Other Crime,19,No,,2020,1,0.0
66,2020-06-01 14:00:00,2020-01-03 17:00:00,04-01-2020 11:49,Lucknow,409,EXTORTION,45,F,Other,Other Crime,3,Yes,2020-03-15 14:00:00,2020,1,11.0
67,2020-03-01 21:00:00,2020-01-03 18:00:00,04-01-2020 17:48,Bhopal,306,CYBERCRIME,25,M,Unknown,Other Crime,6,No,,2020,1,17.0
68,2020-04-01 20:00:00,2020-01-03 19:00:00,04-01-2020 08:46,Visakhapatnam,420,BURGLARY,22,M,Knife,Other Crime,17,Yes,2020-05-02 20:00:00,2020,1,8.0
69,2020-06-01 09:00:00,2020-01-03 20:00:00,04-01-2020 02:24,Hyderabad,469,PUBLIC INTOXICATION,59,F,Explosives,Other Crime,8,Yes,2020-01-17 09:00:00,2020,1,2.0
70,2020-06-01 12:00:00,2020-01-03 21:00:00,04-01-2020 17:23,Visakhapatnam,292,FIREARM OFFENSE,31,F,Firearm,Fire Accident,1,No,,2020,1,17.0
71,2020-06-01 20:00:00,2020-01-03 22:00:00,04-01-2020 00:50,Kolkata,512,FIREARM OFFENSE,58,F,Poison,Fire Accident,6,No,,2020,1,0.0
72,2020-05-01 18:00:00,2020-01-03 23:00:00,04-01-2020 11:34,Nagpur,244,ARSON,53,F,Knife,Fire Accident,1,Yes,2020-03-23 18:00:00,2020,1,11.0
73,2020-05-01 21:00:00,2020-01-04 00:00:00,04-01-2020 07:58,Lucknow,269,BURGLARY,35,F,Blunt Object,Other Crime,2,No,,2020,1,7.0
74,2020-06-01 05:00:00,2020-01-04 01:00:00,04-01-2020 03:01,Chennai,524,ARSON,36,M,Firearm,Fire Accident,5,Yes,2020-01-20 05:00:00,2020,1,3.0
75,2020-05-01 02:00:00,2020-01-04 02:00:00,05-01-2020 01:45,Ahmedabad,404,CYBERCRIME,70,F,Knife,Other Crime,18,No,,2020,1,1.0
76,2020-06-01 00:00:00,2020-01-04 03:00:00,04-01-2020 20:57,Delhi,191,VANDALISM,52,M,Explosives,Other Crime,7,Yes,2020-01-26 00:00:00,2020,1,20.0
77,2020-04-01 22:00:00,2020-01-04 04:00:00,04-01-2020 14:30,Mumbai,369,KIDNAPPING,25,F,Explosives,Other Crime,14,No,,2020,1,14.0
78,2020-05-01 21:00:00,2020-01-04 05:00:00,04-01-2020 17:02,Indore,517,IDENTITY THEFT,58,F,Knife,Violent Crime,10,Yes,2020-03-29 21:00:00,2020,1,17.0
79,2020-05-01 20:00:00,2020-01-04 06:00:00,05-01-2020 03:40,Mumbai,229,ROBBERY,39,F,Poison,Violent Crime,4,No,,2020,1,3.0
80,2020-07-01 03:00:00,2020-01-04 07:00:00,04-01-2020 23:54,Visakhapatnam,154,VEHICLE - STOLEN,54,F,Unknown,Violent Crime,15,Yes,2020-01-15 03:00:00,2020,1,23.0
81,2020-05-01 03:00:00,2020-01-04 08:00:00,04-01-2020 23:33,Delhi,197,ASSAULT,61,F,Knife,Violent Crime,10,Yes,2020-03-04 03:00:00,2020,1,23.0
82,2020-06-01 05:00:00,2020-01-04 09:00:00,04-01-2020 15:37,Jaipur,421,FRAUD,16,F,Explosives,Other Crime,17,No,,2020,1,15.0
83,2020-06-01 12:00:00,2020-01-04 10:00:00,05-01-2020 09:17,Mumbai,305,ROBBERY,25,F,Firearm,Violent Crime,14,Yes,2020-03-21 12:00:00,2020,1,9.0
84,2020-04-01 19:00:00,2020-01-04 11:00:00,05-01-2020 06:13,Kolkata,150,TRAFFIC VIOLATION,72,F,Blunt Object,Traffic Fatality,9,Yes,2020-01-20 19:00:00,2020,1,6.0
85,2020-05-01 18:00:00,2020-01-04 12:00:00,04-01-2020 12:40,Lucknow,542,PUBLIC INTOXICATION,48,M,Firearm,Other Crime,3,No,,2020,1,12.0
86,2020-06-01 17:00:00,2020-01-04 13:00:00,05-01-2020 06:42,Mumbai,438,VANDALISM,22,M,Other,Other Crime,5,Yes,2020-03-11 17:00:00,2020,1,6.0
87,2020-07-01 06:00:00,2020-01-04 14:00:00,04-01-2020 16:00,Lucknow,498,PUBLIC INTOXICATION,30,F,Firearm,Other Crime,10,Yes,2020-01-18 06:00:00,2020,1,16.0
88,2020-07-01 03:00:00,2020-01-04 15:00:00,04-01-2020 22:04,Rajkot,345,ROBBERY,11,F,Firearm,Violent Crime,1,No,,2020,1,22.0
89,2020-06-01 22:00:00,2020-01-04 16:00:00,04-01-2020 21:21,Mumbai,108,HOMICIDE,16,F,Knife,Other Crime,6,No,,2020,1,21.0
90,2020-06-01 18:00:00,2020-01-04 17:00:00,05-01-2020 06:38,Hyderabad,219,VEHICLE - STOLEN,73,F,Blunt Object,Violent Crime,12,No,,2020,1,6.0
91,2020-05-01 04:00:00,2020-01-04 18:00:00,05-01-2020 17:15,Kolkata,219,BURGLARY,72,F,Poison,Other Crime,9,No,,2020,1,17.0
92,2020-04-01 20:00:00,2020-01-04 19:00:00,05-01-2020 09:21,Jaipur,510,CYBERCRIME,60,F,Unknown,Other Crime,7,No,,2020,1,9.0
93,2020-05-01 16:00:00,2020-01-04 20:00:00,05-01-2020 07:36,Hyderabad,597,FRAUD,53,M,Unknown,Other Crime,13,Yes,2020-04-01 16:00:00,2020,1,7.0
94,2020-06-01 21:00:00,2020-01-04 21:00:00,05-01-2020 08:12,Mumbai,272,SEXUAL ASSAULT,42,F,Firearm,Violent Crime,3,No,,2020,1,8.0
95,2020-06-01 08:00:00,2020-01-04 22:00:00,04-01-2020 22:16,Vasai,413,PUBLIC INTOXICATION,10,M,Firearm,Other Crime,11,No,,2020,1,22.0
96,2020-06-01 08:00:00,2020-01-04 23:00:00,05-01-2020 14:10,Hyderabad,355,DRUG OFFENSE,51,F,Blunt Object,Other Crime,7,No,,2020,1,14.0
97,2020-06-01 02:00:00,2020-01-05 00:00:00,05-01-2020 15:36,Nagpur,523,IDENTITY THEFT,26,F,Explosives,Violent Crime,5,Yes,2020-02-12 02:00:00,2020,1,15.0
98,2020-06-01 17:00:00,2020-01-05 01:00:00,05-01-2020 02:56,Kolkata,486,SEXUAL ASSAULT,71,M,Blunt Object,Violent Crime,6,No,,2020,1,2.0
99,2020-06-01 23:00:00,2020-01-05 02:00:00,05-01-2020 14:38,Hyderabad,292,IDENTITY THEFT,74,F,Explosives,Violent Crime,15,Yes,2020-01-23 23:00:00,2020,1,14.0
100,2020-06-01 20:00:00,2020-01-05 03:00:00,05-01-2020 06:41,Hyderabad,455,DRUG OFFENSE,13,F,Other,Other Crime,13,Yes,2020-01-22 20:00:00,2020,1,6.0
101,2020-06-01 23:00:00,2020-01-05 04:00:00,05-01-2020 14:02,Ahmedabad,515,PUBLIC INTOXICATION,50,F,Knife,Other Crime,1,Yes,2020-01-14 23:00:00,2020,1,14.0
102,2020-05-01 16:00:00,2020-01-05 05:00:00,05-01-2020 22:34,Mumbai,566,EXTORTION,69,F,Explosives,Other Crime,18,No,,2020,1,22.0
103,2020-07-01 00:00:00,2020-01-05 06:00:00,05-01-2020 17:43,Kanpur,419,ASSAULT,34,F,Other,Violent Crime,6,No,,2020,1,17.0
104,2020-07-01 16:00:00,2020-01-05 07:00:00,05-01-2020 14:13,Mumbai,250,VEHICLE - STOLEN,38,F,Poison,Violent Crime,14,Yes,2020-02-19 16:00:00,2020,1,14.0
105,2020-06-01 23:00:00,2020-01-05 08:00:00,05-01-2020 19:30,Lucknow,597,FRAUD,44,F,Blunt Object,Other Crime,16,No,,2020,1,19.0
106,2020-06-01 00:00:00,2020-01-05 09:00:00,05-01-2020 10:05,Hyderabad,583,VEHICLE - STOLEN,69,F,Unknown,Violent Crime,12,Yes,2020-02-22 00:00:00,2020,1,10.0
107,2020-05-01 11:00:00,2020-01-05 10:00:00,05-01-2020 17:21,Lucknow,342,DOMESTIC VIOLENCE,12,F,Blunt Object,Violent Crime,1,No,,2020,1,17.0
108,2020-07-01 12:00:00,2020-01-05 11:00:00,06-01-2020 09:35,Bangalore,417,ARSON,21,F,Poison,Fire Accident,3,Yes,2020-02-09 12:00:00,2020,1,9.0
109,2020-07-01 20:00:00,2020-01-05 12:00:00,06-01-2020 00:07,Chennai,169,PUBLIC INTOXICATION,55,F,Blunt Object,Other Crime,8,No,,2020,1,0.0
110,2020-05-01 17:00:00,2020-01-05 13:00:00,05-01-2020 23:32,Delhi,464,ARSON,15,F,Other,Fire Accident,9,No,,2020,1,23.0
111,2020-07-01 04:00:00,2020-01-05 14:00:00,05-01-2020 23:24,Visakhapatnam,500,ILLEGAL POSSESSION,58,F,Explosives,Other Crime,5,Yes,2020-02-16 04:00:00,2020,1,23.0
112,2020-08-01 05:00:00,2020-01-05 15:00:00,06-01-2020 07:02,Delhi,183,COUNTERFEITING,37,F,Unknown,Other Crime,6,No,,2020,1,7.0
113,2020-07-01 09:00:00,2020-01-05 16:00:00,06-01-2020 14:55,Bangalore,270,HOMICIDE,49,F,Knife,Other Crime,7,Yes,2021-11-08 09:00:00,2020,1,14.0
114,2020-06-01 15:00:00,2020-01-05 17:00:00,06-01-2020 06:42,Surat,259,EXTORTION,30,M,Poison,Other Crime,5,No,,2020,1,6.0
115,2020-07-01 13:00:00,2020-01-05 18:00:00,06-01-2020 08:02,Pune,184,FIREARM OFFENSE,50,F,Blunt Object,Fire Accident,15,Yes,2020-02-03 13:00:00,2020,1,8.0
116,2020-05-01 20:00:00,2020-01-05 19:00:00,06-01-2020 06:26,Mumbai,353,BURGLARY,64,F,Knife,Other Crime,10,No,,2020,1,6.0
117,2020-07-01 04:00:00,2020-01-05 20:00:00,06-01-2020 10:15,Lucknow,235,VANDALISM,43,M,Poison,Other Crime,14,Yes,2020-03-13 04:00:00,2020,1,10.0
118,2020-06-01 20:00:00,2020-01-05 21:00:00,06-01-2020 02:16,Delhi,287,DRUG OFFENSE,32,M,Explosives,Other Crime,13,Yes,2020-03-30 20:00:00,2020,1,2.0
119,2020-07-01 19:00:00,2020-01-05 22:00:00,05-01-2020 23:48,Mumbai,257,ILLEGAL POSSESSION,14,M,Poison,Other Crime,3,Yes,2020-02-27 19:00:00,2020,1,23.0
120,2020-07-01 02:00:00,2020-01-05 23:00:00,06-01-2020 07:04,Pune,537,TRAFFIC VIOLATION,70,M,Unknown,Traffic Fatality,3,Yes,2020-01-27 02:00:00,2020,1,7.0
121,2020-07-01 14:00:00,2020-01-06 00:00:00,06-01-2020 12:16,Ahmedabad,277,VEHICLE - STOLEN,78,F,Firearm,Violent Crime,10,Yes,2020-01-22 14:00:00,2020,1,12.0
122,2020-08-01 19:00:00,2020-01-06 01:00:00,06-01-2020 22:59,Delhi,321,KIDNAPPING,22,F,Other,Other Crime,19,Yes,2020-04-06 19:00:00,2020,1,22.0
123,2020-06-01 04:00:00,2020-01-06 02:00:00,07-01-2020 00:00,Bhopal,432,VANDALISM,60,F,Unknown,Other Crime,4,No,,2020,1,0.0
124,2020-08-01 23:00:00,2020-01-06 03:00:00,06-01-2020 06:56,Ludhiana,129,SEXUAL ASSAULT,44,F,Blunt Object,Violent Crime,2,No,,2020,1,6.0
125,2020-09-01 00:00:00,2020-01-06 04:00:00,06-01-2020 19:19,Pune,347,FRAUD,30,M,Knife,Other Crime,14,No,,2020,1,19.0
126,2020-09-01 02:00:00,2020-01-06 05:00:00,06-01-2020 05:15,Pune,127,ASSAULT,62,F,Unknown,Violent Crime,10,No,,2020,1,5.0
127,2020-07-01 07:00:00,2020-01-06 06:00:00,07-01-2020 00:44,Surat,117,FIREARM OFFENSE,42,F,Unknown,Fire Accident,8,No,,2020,1,0.0
128,2020-07-01 04:00:00,2020-01-06 07:00:00,07-01-2020 02:17,Ghaziabad,339,IDENTITY THEFT,73,F,Knife,Violent Crime,2,Yes,2020-04-01 04:00:00,2020,1,2.0
129,2020-09-01 04:00:00,2020-01-06 08:00:00,06-01-2020 12:39,Kanpur,374,SHOPLIFTING,25,M,Explosives,Other Crime,15,No,,2020,1,12.0
130,2020-08-01 14:00:00,2020-01-06 09:00:00,06-01-2020 14:55,Ghaziabad,111,ROBBERY,33,M,Other,Violent Crime,3,Yes,2020-05-20 14:00:00,2020,1,14.0
131,2020-08-01 13:00:00,2020-01-06 10:00:00,06-01-2020 19:26,Agra,331,ARSON,13,F,Poison,Fire Accident,19,No,,2020,1,19.0
132,2020-07-01 04:00:00,2020-01-06 11:00:00,07-01-2020 06:55,Lucknow,295,IDENTITY THEFT,39,F,Knife,Violent Crime,8,No,,2020,1,6.0
133,2020-06-01 23:00:00,2020-01-06 12:00:00,06-01-2020 19:17,Bangalore,309,HOMICIDE,18,M,Unknown,Other Crime,2,No,,2020,1,19.0
134,2020-06-01 22:00:00,2020-01-06 13:00:00,07-01-2020 00:56,Lucknow,465,ILLEGAL POSSESSION,75,F,Knife,Other Crime,8,No,,2020,1,0.0
135,2020-06-01 18:00:00,2020-01-06 14:00:00,07-01-2020 07:26,Delhi,406,VANDALISM,50,F,Other,Other Crime,15,No,,2020,1,7.0
136,2020-09-01 07:00:00,2020-01-06 15:00:00,07-01-2020 02:16,Delhi,278,FRAUD,71,F,Other,Other Crime,7,No,,2020,1,2.0
137,2020-07-01 23:00:00,2020-01-06 16:00:00,07-01-2020 01:01,Ahmedabad,569,PUBLIC INTOXICATION,38,F,Explosives,Other Crime,12,Yes,2020-01-23 23:00:00,2020,1,1.0
138,2020-08-01 12:00:00,2020-01-06 17:00:00,06-01-2020 20:11,Mumbai,445,ASSAULT,12,M,Blunt Object,Violent Crime,6,No,,2020,1,20.0
139,2020-08-01 17:00:00,2020-01-06 18:00:00,07-01-2020 07:11,Kanpur,465,KIDNAPPING,57,F,Other,Other Crime,2,No,,2020,1,7.0
140,2020-08-01 16:00:00,2020-01-06 19:00:00,07-01-2020 01:17,Jaipur,404,CYBERCRIME,47,F,Firearm,Other Crime,16,Yes,2020-02-06 16:00:00,2020,1,1.0
141,2020-08-01 13:00:00,2020-01-06 20:00:00,07-01-2020 14:13,Delhi,270,DOMESTIC VIOLENCE,73,F,Other,Violent Crime,14,No,,2020,1,14.0
142,2020-07-01 23:00:00,2020-01-06 21:00:00,07-01-2020 06:34,Mumbai,113,FIREARM OFFENSE,41,F,Blunt Object,Fire Accident,4,Yes,2020-03-27 23:00:00,2020,1,6.0
143,2020-07-01 09:00:00,2020-01-06 22:00:00,07-01-2020 12:37,Mumbai,278,ILLEGAL POSSESSION,45,F,Unknown,Other Crime,2,No,,2020,1,12.0
144,2020-07-01 06:00:00,2020-01-06 23:00:00,07-01-2020 16:49,Varanasi,487,ASSAULT,79,F,Firearm,Violent Crime,14,Yes,2020-02-04 06:00:00,2020,1,16.0
145,2020-08-01 20:00:00,2020-01-07 00:00:00,07-01-2020 03:38,Ludhiana,172,IDENTITY THEFT,17,M,Firearm,Violent Crime,10,No,,2020,1,3.0
146,2020-08-01 01:00:00,2020-01-07 01:00:00,07-01-2020 16:44,Kolkata,165,PUBLIC INTOXICATION,15,F,Knife,Other Crime,16,No,,2020,1,16.0
147,2020-07-01 16:00:00,2020-01-07 02:00:00,07-01-2020 18:49,Meerut,514,CYBERCRIME,44,F,Other,Other Crime,6,Yes,2020-01-26 16:00:00,2020,1,18.0
148,2020-07-01 16:00:00,2020-01-07 03:00:00,07-01-2020 22:27,Bangalore,262,COUNTERFEITING,28,F,Knife,Other Crime,8,No,,2020,1,22.0
149,2020-07-01 06:00:00,2020-01-07 04:00:00,08-01-2020 01:09,Agra,558,IDENTITY THEFT,41,F,Unknown,Violent Crime,5,Yes,2020-02-27 06:00:00,2020,1,1.0
